Hisse
ACSEL
ADEL
ADESE
AEFES
AFYON
AGESA
AGHOL
AGYO
AKBNK
AKCNS
AKENR
AKFGY
AKGRT
AKMGY
AKSA
AKSEN
AKSGY
AKSUE
AKYHO
ALARK
ALBRK
ALCAR
ALCTL
ALGYO
ALKA
ALKIM
ALMAD
ANELE
ANGEN
ANHYT
ANSGR
ARASE
ARCLK
ARDYZ
ARENA
ARMDA
ARSAN
ARZUM
ASELS
ASUZU
ATAGY
ATATP
ATEKS
ATLAS
ATSYH
AVGYO
AVHOL
AVOD
AVTUR
AYCES
AYDEM
AYEN
AYES
AYGAZ
AZTEK
BAGFS
BAKAB
BALAT
BANVT
BARMA
BASCM
BASGZ
BAYRK
BERA
BEYAZ
BFREN
BIMAS
BIOEN
BIZIM
BJKAS
BLCYT
BMSCH
BMSTL
BNTAS
BOBET
BOSSA
BRISA
BRKO
BRKSN
BRLSM
BRMEN
BRSAN
BRYAT
BSOKE
BTCIM
BUCIM
BURCE
BURVA
CANTE
CASA
CCOLA
CELHA
CEMAS
CEMTS
CEOEM
CIMSA
CLEBI
CMBTN
CMENT
CONSE
COSMO
CRDFA
CRFSA
CUSAN
DAGHL
DAGI
DAPGM
DARDL
DENGE
DERHL
DERIM
DESA
DESPC
DEVA
DGATE
DGGYO
DGNMO
DIRIT
DITAS
DMSAS
DNISI
DOAS
DOBUR
DOCO
DOGUB
DOHOL
DOKTA
DURDO
DYOBY
DZGYO
ECILC
ECZYT
EDATA
EDIP
EGEEN
EGEPO
EGGUB
EGPRO
EGSER
EKGYO
EKIZ
ELITE
EMKEL
EMNIS
ENJSA
ENKAI
ENSRI
EPLAS
ERBOS
ERCB
EREGL
ERSU
ESCAR
ESCOM
ESEN
ETILR
ETYAT
EUHOL
EUKYO
EUREN
EUYO
FADE
FENER
FLAP
FMIZP
FONET
FORMT
FRIGO
FROTO
GARAN
GARFA
GEDIK
GEDZA
GENIL
GENTS
GEREL
GESAN
GLBMD
GLCVY
GLRYH
GLYHO
GMTAS
GOLTS
GOODY
GOZDE
GRNYO
GRSEL
GSDDE
GSDHO
GSRAY
GUBRF
GWIND
GZNMI
HALKB
HATEK
HDFGS
HEDEF
HEKTS
HLGYO
HTTBT
HUBVC
HUNER
HURGZ
ICBCT
IDEAS
IDGYO
IEYHO
IHAAS
IHEVA
IHGZT
IHLAS
IHLGM
IHYAY
IMASM
INDES
INFO
INTEM
INVEO
INVES
IPEKE
ISATR
ISBIR
ISBTR
ISCTR
ISDMR
ISFIN
ISGSY
ISGYO
ISKPL
ISKUR
ISMEN
ISSEN
ISYAT
ITTFH
IZFAS
IZINV
IZMDC
JANTS
KAPLM
KAREL
KARSN
KARTN
KARYE
KATMR
KCAER
KCHOL
KENT
KERVN
KERVT
KFEIN
KGYO
KIMMR
KLGYO
KLKIM
KLMSN
KLNMA
KLRHO
KLSYN
KMPUR
KNFRT
KONKA
KONTR
KONYA
KORDS
KOZAA
KOZAL
KRDMA
KRDMB
KRDMD
KRGYO
KRONT
KRPLS
KRSTL
KRTEK
KRVGD
KSTUR
KTSKR
KUTPO
KUYAS
KZBGY
LIDER
LIDFA
LINK
LKMNH
LOGO
LUKSK
MAALT
MAGEN
MAKIM
MAKTK
MANAS
MARKA
MARTI
MAVI
MEDTR
MEGAP
MEPET
MERCN
MERIT
MERKO
METRO
METUR
MGROS
MIATK
MIPAZ
MMCAS
MNDRS
MOBTL
MPARK
MRGYO
MRSHL
MSGYO
MTRKS
MTRYO
MZHLD
NATEN
NETAS
NIBAS
NTGAZ
NTHOL
NUGYO
NUHCM
OBASE
ODAS
OLMK
ORCAY
ORGE
ORMA
OSMEN
OSTIM
OTKAR
OTTO
OYAKC
OYAYO
OYLUM
OYYAT
OZGYO
OZKGY
OZRDN
PAGYO
PAMEL
PAPIL
PARSN
PCILT
PEGYO
PEKGY
PENGD
PENTA
PETKM
PETUN
PGSUS
PINSU
PKART
PKENT
PNLSN
PNSUT
POLHO
POLTK
PRDGS
PRKAB
PRKME
PRZMA
PSDTC
PSGYO
QNBFB
QNBFL
QUAGR
RALYH
RAYSG
RHEAG
RNPOL
RODRG
ROYAL
RTALB
RUBNS
RYGYO
RYSAS
SAFKR
SAHOL
SAMAT
SANEL
SANFM
SANKO
SARKY
SASA
SAYAS
SEGYO
SEKFK
SEKUR
SELEC
SELGD
SELVA
SERVE
SEYKM
SILVR
SISE
SKBNK
SKTAS
SMART
SMRTG
SNGYO
SNKRN
SNPAM
SODSN
SOKM
SONME
SRVGY
SUMAS
SUNTK
SUWEN
TATGD
TAVHL
TBORG
TCELL
TDGYO
TEKTU
TETMT
TEZOL
TGSAS
THYAO
TIRE
TKFEN
TKNSA
TLMAN
TMPOL
TMSN
TOASO
TRCAS
TRGYO
TRILC
TSGYO
TSKB
TSPOR
TTKOM
TTRAK
TUCLK
TUKAS
TUPRS
TUREX
TURGG
TURSG
UFUK
ULAS
ULKER
ULUFA
ULUSE
ULUUN
UMPAS
UNLU
USAK
UTPYA
UZERB
VAKBN
VAKFN
VAKKO
VANGD
VBTYZ
VERTU
VERUS
VESBE
VESTL
VKFYO
VKGYO
VKING
YAPRK
YATAS
YAYLA
YBTAS
YEOTK
YESIL
YGGYO
YGYO
YKBNK
YKSLN
YONGA
YUNSA
YYAPI
YYLGD
ZOREN
ZRGYO
